                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.50138,                0.85939,                0.30446,                0.86021,                0.99827,                      1,                  0.995,                  0.751,                0.88494,                0.88636,                0.84202,                0.46249,                 0.8789,                 1.3787,                0.34928,                 1.0024,             0.00029723,             0.00029723,             0.00029723
                     86,                0.51007,                0.85544,                0.30299,                0.86955,                0.99796,                      1,                  0.995,                0.75882,                 0.8846,                0.88636,                0.84232,                0.45835,                0.85949,                 1.3689,                0.34946,                0.99743,             0.00028072,             0.00028072,             0.00028072
                     87,                0.51321,                0.85164,                0.29773,                 0.8697,                0.99778,                      1,                  0.995,                  0.766,                0.86176,                0.86364,                0.80563,                0.45483,                0.89287,                 1.4447,                0.35665,                 1.0134,             0.00026422,             0.00026422,             0.00026422
                     88,                0.52023,                 0.9332,                0.31146,                0.87808,                0.99768,                      1,                  0.995,                0.75456,                0.86163,                0.86364,                0.80584,                 0.4508,                0.92284,                 1.4637,                0.36434,                 1.0247,             0.00024772,             0.00024772,             0.00024772
                     89,                0.48451,                0.82106,                0.29496,                0.85412,                 0.9976,                      1,                  0.995,                 0.7555,                0.88421,                0.88636,                0.84828,                0.45458,                0.95945,                 1.4329,                0.37555,                 1.0345,             0.00023121,             0.00023121,             0.00023121
                     90,                0.48264,                0.83981,                0.29074,                0.85325,                0.99748,                      1,                  0.995,                0.76163,                0.88413,                0.88636,                 0.8487,                0.45966,                0.93519,                 1.3973,                0.37354,                 1.0255,             0.00021471,             0.00021471,             0.00021471
                     91,                0.50116,                0.81095,                0.30079,                0.86022,                0.99755,                      1,                  0.995,                0.75923,                0.86153,                0.86364,                0.79851,                0.45562,                0.91807,                 1.3962,                0.36231,                 1.0204,             0.00019821,             0.00019821,             0.00019821
                     92,                0.47134,                0.83628,                0.27745,                0.84056,                0.99789,                      1,                  0.995,                0.74814,                 0.8392,                0.84091,                0.76496,                0.43895,                0.92327,                 1.4405,                0.35552,                 1.0229,              0.0001817,              0.0001817,              0.0001817
                     93,                0.46697,                0.79258,                0.27404,                0.83266,                0.99812,                      1,                  0.995,                0.73767,                0.83943,                0.84091,                0.76133,                0.42428,                0.94147,                 1.4702,                0.35948,                  1.026,              0.0001652,              0.0001652,              0.0001652
                     94,                0.47015,                0.74176,                0.27952,                0.84572,                0.99827,                      1,                  0.995,                0.73561,                0.86224,                0.86364,                0.80261,                 0.4318,                0.94223,                 1.4758,                 0.3608,                 1.0226,              0.0001487,              0.0001487,              0.0001487
                     95,                0.45119,                0.80058,                0.26464,                0.84531,                0.99824,                      1,                  0.995,                0.75452,                0.86222,                0.86364,                0.80285,                0.43404,                0.93835,                 1.4549,                0.35451,                 1.0137,             0.00013219,             0.00013219,             0.00013219
                     96,                0.45191,                0.73093,                0.27108,                0.84268,                0.99813,                      1,                  0.995,                0.75831,                0.86215,                0.86364,                0.80336,                0.43845,                0.93213,                 1.4369,                0.35314,                 1.0092,             0.00011569,             0.00011569,             0.00011569
                     97,                0.46354,                0.77281,                0.26254,                0.84114,                0.99796,                      1,                  0.995,                0.76684,                0.83932,                0.84091,                0.76609,                0.43486,                0.93708,                 1.4312,                0.35494,                 1.0132,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.46569,                0.80086,                0.27015,                 0.8442,                0.99784,                      1,                  0.995,                0.76836,                0.83919,                0.84091,                0.76278,                0.43585,                0.93293,                 1.4265,                0.35434,                 1.0158,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.44784,                 0.8072,                0.26372,                 0.8444,                 0.9977,                      1,                  0.995,                0.75713,                0.86173,                0.86364,                0.80405,                0.43969,                0.93352,                 1.4269,                0.35053,                 1.0188,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.44272,                0.76235,                0.26372,                0.83495,                0.99752,                      1,                  0.995,                0.75754,                0.86156,                0.86364,                0.80495,                0.44125,                0.93065,                 1.4374,                0.35114,                 1.0184,             4.9677e-05,             4.9677e-05,             4.9677e-05
